time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1681	1.35363	5.17415	0.237652	0.220812	radar	4.83196	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3907	1.43452	5.135	0.260145	0.236593	lidar	1.11248	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6192	1.51985	4.97133	0.285586	0.258139	radar	3.24766	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8402	1.54739	4.92786	0.277953	0.231193	lidar	1.19132	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1087	1.59971	5.03979	0.276519	0.211939	radar	2.33861	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3897	1.64452	5.09004	0.270461	0.189268	lidar	2.14865	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6195	1.70071	5.01853	0.275777	0.184695	radar	0.686153	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8478	1.76411	4.9963	0.28336	0.182623	lidar	0.269089	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1061	1.85782	5.12675	0.300101	0.190713	radar	1.52326	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3504	1.88284	5.10048	0.283606	0.15628	lidar	0.701048	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6081	1.94503	5.18925	0.283337	0.143883	radar	0.798794	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8085	2.08266	5.14883	0.328333	0.193912	lidar	3.17922	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0779	2.19662	5.30517	0.347054	0.202653	radar	2.87992	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2831	2.33944	5.26875	0.388076	0.243431	lidar	2.43435	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4562	2.48885	5.04074	0.438873	0.301326	radar	10.8521	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.707	2.60123	5.0793	0.452262	0.298945	lidar	0.905099	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9257	2.71588	5.05026	0.470304	0.303987	radar	0.141774	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1548	2.86861	5.08669	0.502124	0.325464	lidar	0.511039	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4068	2.98389	5.22445	0.504045	0.300581	radar	1.44337	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6145	3.04644	5.13997	0.491978	0.265724	lidar	2.43516	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8461	3.20863	5.24814	0.519762	0.28119	radar	3.44765	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0566	3.40236	5.28185	0.565277	0.321997	lidar	0.833835	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2649	3.57443	5.22001	0.601257	0.353087	radar	2.54296	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4805	3.75933	5.25846	0.634402	0.373046	lidar	0.415228	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6906	3.89512	5.22792	0.643796	0.361707	radar	1.10467	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9143	4.0305	5.22429	0.648183	0.344018	lidar	0.293336	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.108	4.19127	5.1165	0.67475	0.363795	radar	1.58885	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3049	4.38409	5.15171	0.706481	0.381197	lidar	0.279553	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5156	4.54987	5.19299	0.718487	0.369803	radar	0.693978	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6935	4.71141	5.16036	0.736131	0.368743	lidar	0.500583	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.845	4.89486	4.9641	0.779634	0.417007	radar	3.59993	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0063	5.12148	5.0144	0.824202	0.447395	lidar	0.56824	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1778	5.28437	4.97731	0.837359	0.436787	radar	1.56533	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3348	5.46198	4.95702	0.85765	0.434824	lidar	0.147747	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4931	5.62087	4.88637	0.870492	0.426529	radar	2.87681	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6847	5.73713	4.82001	0.853841	0.378368	lidar	1.5351	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8313	5.92326	4.75973	0.881444	0.395524	radar	0.637523	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0026	6.1194	4.79909	0.898675	0.392446	lidar	0.940697	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
